Nama Ikan (Indonesia);Nama Inggris;Volume Produksi (Ton)
Layur;Hairtail Fishes;12,9
Layang;Scads;211,5
Siro/Tembang;Spotted Sardinella;936
Tongkol;Frigate Tuna;286
Teri;Anchovies;26
Kembung;Short Mackerel;483
Peperek;Pony Fish;191
Cucut;Shark;0,68
Selar;Trevallies;39
Udang Putih/Jerbung;White Shrimp;13,9
Kerapu;Grouper;1,3
Kakap Merah;Red Snapper;0,4
Kwe;Great Trevally;7,2
Manyung;Sea Catfish;3,6
Cumi-cumi;Squids;223
Bawal Hitam;Black Pomfret;0,31
Beloso;Lizard Fish;32
Ekor Kuning;Yellow Tail;0,5
Rajungan;Swimming Crab;122
Kurisi;Threadfin Bream;13
Pari;Rays;25
Layaran;Indo-Pacific Sailfish;0,27
Sotong;Cuttlefish;46
Bawal Putih;Silver Pomfret;0,15
Samgeh;Sulphur Goatfish;70
Kuniran;Threadfin Bream;203
Udang Lainnya;Other Shrimps;38
Japuh;Rainbow Sardine;16
Lencam;Emperor;0,21
Tetengkek;Torpedo Scad;31,4
Cendro;Needle Fish;1,5
Golok-golok;Banded Grunter;12
Talang-talang;Queenfish;1,3
Kerong-kerong;Deep Leather Skin;22,4
Gurita;Octopus;9,1
Bentong;Bigeye Scad;20
Selanget;Chacunda Gizzard Shad;92
Gerot-gerot;Saddle Grunt;0
Lemadang;Common Dolphin Fish;0
Kakap Putih;Barramundi;0,4
Udang Krosok;Tiger Cat Shrimp;0,7
Beronang;Spotted Spinefoot;58
Setuhuk Hitam;Black Marlin;0,04
